"region","date","rain","temp","cases"
"Madrid","2020-02-27",0,9.971428571428566,6
"Madrid","2020-02-28",0,10.395238095238094,10
"Madrid","2020-02-29",0.038095238095238085,8.561904761904762,20
"Madrid","2020-03-01",2.1047619047619044,9.923809523809524,27
"Madrid","2020-03-02",3.809523809523808,7.809523809523809,53
"Madrid","2020-03-03",2.2523809523809524,8.723809523809521,96
"Madrid","2020-03-04",1.0999999999999996,12.557142857142855,142
"Madrid","2020-03-08",0,7.0666666666666655,738
"Madrid","2020-03-09",0,9.919047619047616,1003
"Madrid","2020-03-10",0,13.371428571428567,1508
"Madrid","2020-03-11",0,15.46190476190476,2213
"Madrid","2020-03-12",0,16.099999999999994,2943
"Madrid","2020-03-13",0.004761904761904761,15.223809523809521,3732
"Madrid","2020-03-14",0,13.699999999999996,4672
"Madrid","2020-03-15",4.738095238095239,12.18095238095238,5576
"Madrid","2020-03-16",10.215,5.434999999999999,6392
"Madrid","2020-03-17",3.880000000000001,8.59,7653
"Madrid","2020-03-18",0,11.338095238095235,9601
"Madrid","2020-03-19",0.009523809523809521,11.366666666666664,11356
"Madrid","2020-03-20",0.2666666666666666,8.857142857142852,13399
"Madrid","2020-03-21",3.0666666666666664,7.042857142857143,15722
"Madrid","2020-03-22",3.1428571428571423,7.590476190476188,17397
"Madrid","2020-03-23",5.838095238095238,9.700000000000001,18900
"Madrid","2020-03-24",0.5047619047619046,10.32380952380952,21569
"Madrid","2020-03-25",0.009523809523809521,9.714285714285712,24475
"Madrid","2020-03-26",0,7.657142857142856,27422
"Madrid","2020-03-27",0.3818181818181818,5.268181818181816,30796
"Madrid","2020-03-28",0,7.061904761904761,33162
"Madrid","2020-03-29",0,9.723809523809523,34189
"Madrid","2020-03-30",2.4590909090909077,4.922727272727272,35061
"Madrid","2020-03-31",26.14999999999999,3.8545454545454545,37607
"Madrid","2020-04-01",4.281818181818182,7.863636363636363,39409
"Madrid","2020-04-02",0.5863636363636364,6.818181818181817,41199
"Madrid","2020-04-03",0.004545454545454544,8.731818181818182,43038
"Madrid","2020-04-04",0,9.377272727272727,44779
"Madrid","2020-04-05",0.17272727272727276,12.340909090909092,45671
"Madrid","2020-04-06",3.1714285714285717,13.51428571428571,46197
"Madrid","2020-04-07",3.527272727272726,12.959090909090904,47763
"Madrid","2020-04-08",0.19545454545454552,14.677272727272724,49160
"Madrid","2020-04-09",3.613636363636362,12.213636363636365,50580
"Madrid","2020-04-10",9.595454545454542,11.336363636363634,51535
"Madrid","2020-04-11",2.036363636363636,13.399999999999999,52400
"Madrid","2020-04-12",2.5545454545454542,13.031818181818176,52944
"Madrid","2020-04-13",1.8636363636363633,11.968181818181819,53285
"Madrid","2020-04-14",4.8,11.949999999999996,54287
"Madrid","2020-04-15",24.280000000000005,10.535000000000004,55398
"Madrid","2020-04-16",6.909999999999997,12.224999999999998,56304
"Madrid","2020-04-17",0.3049999999999999,12.439999999999998,57157
"Madrid","2020-04-18",0.33999999999999986,13.349999999999998,57978
"Madrid","2020-04-19",11.805263157894736,12.610526315789471,60941
"Madrid","2020-04-20",0.16499999999999995,11.044999999999996,61336
"Madrid","2020-04-21",1.18,9.945,61972
"Madrid","2020-04-22",0.004761904761904761,12.34285714285714,62904
"Madrid","2020-04-23",0,13.884999999999998,64050
"Madrid","2020-04-24",0.12,14.780000000000001,64634
"Madrid","2020-04-25",2.342857142857142,14.447619047619048,65310
"Madrid","2020-04-26",1.3190476190476192,13.838095238095237,65546
"Madrid","2020-04-27",1.7499999999999998,11.609999999999998,66007
"Madrid","2020-04-28",0.20500000000000004,10.529999999999996,66784
"Madrid","2020-04-29",0.02222222222222222,11.8,67460
"Madrid","2020-04-30",0.005263157894736841,12.57894736842105,67942
